Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
04/01,-1.13716886820571,2.43378916953718,-0.306224034827829,1.87053496639213
04/02,-1.54446582318484,2.43378916953718,-0.54125445414327,1.87053496639213
04/03,-1.07784021814726,2.43378916953718,-0.246120957372065,1.87053496639213
04/06,-0.668457898104191,2.43378916953718,0.0124195191769427,1.87053496639213
04/07,-0.742205419966091,2.43378916953718,-0.0342172998762602,1.87053496639213
04/08,-1.54712962765599,2.43378916953718,-0.542637500580834,1.87053496639213
04/09,-1.47765580000172,2.43378916953718,-0.498621937881882,1.87053496639213
04/10,-2.56401158246985,1.41088419026276,-0.992780216534239,1.20416268601948
04/13,-2.59504548559351,1.41088419026276,-1.01016206418902,1.20416268601948
04/14,-2.72415809779538,1.41088419026276,-1.0821943897226,1.20416268601948
04/15,-2.87801382616337,1.41088419026276,-1.1684556421666,1.20416268601948
04/16,-3.07149248056149,1.41088419026276,-1.27699985510068,1.20416268601948
04/17,-3.0550376079622,1.41088419026276,-1.26776549744013,1.20416268601948
04/20,-2.99936075930319,1.41088419026276,-1.23652410885784,1.20416268601948
04/21,-3.31880022014206,1.41088419026276,-1.41565523920882,1.20416268601948
04/22,-3.93009321274268,1.41088419026276,-1.75946120218284,1.20416268601948
04/23,-3.747745615294,1.41088419026276,-1.65682461328076,1.20416268601948
04/24,-3.61643846540413,1.41088419026276,-1.58295889755102,1.20416268601948
04/27,-3.57285207816846,1.41088419026276,-1.55844753131551,1.20416268601948
04/28,-3.8258720431635,1.41088419026276,-1.70063110522837,1.20416268601948
04/29,-3.76043976918687,1.41088419026276,-1.66380261529815,1.20416268601948
04/30,-3.38752828748576,1.41088419026276,-1.68067485417749,1.08432773719438
05/01,-3.19379235588094,1.41088419026276,-1.56847989027475,1.08432773719438
05/04,-2.92439843060778,1.41088419026276,-1.40762412317752,1.08432773719438
05/05,-3.0879771464247,1.41088419026276,-1.50219126696265,1.08432773719438
05/06,-2.96468789246251,1.41088419026276,-1.43081858720044,1.08432773719438
05/07,-3.04062713783949,1.41088419026276,-1.47477667955456,1.08432773719438
05/08,-3.06389360079238,1.41088419026276,-1.48824689700848,1.08432773719438
