Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
01/02,2.90768198164197,2.36788545848159,1.91002086507694,1.63188579455882
01/03,2.74410422846596,2.36788545848159,1.8217275182681,1.63188579455882
01/06,2.97422058506036,2.36788545848159,1.9413660881501,1.63188579455882
01/07,2.78067910248554,2.36788545848159,1.8406986468166,1.63188579455882
01/08,2.7174699850167,2.36788545848159,1.8078269078315,1.63188579455882
01/09,2.50464860567199,2.36788545848159,1.69709461053928,1.63188579455882
01/10,2.50410687950242,2.36788545848159,1.69681263848969,1.63188579455882
01/13,2.4803854075266,2.36788545848159,1.68446491459102,1.63188579455882
01/14,2.28653162845212,2.10101027238754,1.64868259520419,1.53167598759403
01/15,2.33823751353293,2.10101027238754,1.67599696585237,1.53167598759403
01/16,2.31063624159733,2.10101027238754,1.6614168271007,1.53167598759403
01/17,2.34482934394029,2.10101027238754,1.67947883240194,1.53167598759403
01/21,2.40708435454551,2.10101027238754,1.71235847904458,1.53167598759403
01/22,2.30531902403788,2.10101027238754,1.65858446856557,1.53167598759403
01/23,2.19582634902733,2.10101027238754,1.60072616887017,1.53167598759403
01/24,2.11575549980909,2.10101027238754,1.55840068429443,1.53167598759403
01/27,1.99830326492714,2.10101027238754,1.49629347227584,1.53167598759403
01/28,1.82336013524509,2.10101027238754,1.40369655165613,1.53167598759403
01/29,1.86185076251795,2.10101027238754,1.42406729193782,1.53167598759403
01/30,1.90414537066625,2.10101027238754,1.44644800893408,1.53167598759403
01/31,1.72406474365265,2.10101027238754,1.56338072832423,1.82341546784153
02/03,1.66250496576614,2.10101027238754,1.53078684946264,1.82341546784153
02/04,1.63400534306921,2.10101027238754,1.51501385780126,1.82341546784153
02/05,1.62353588281958,2.10101027238754,1.50946584727578,1.82341546784153
02/06,1.66965677262161,2.10101027238754,1.53390487052538,1.82341546784153
02/07,1.65284896618598,2.10101027238754,1.52499902502736,1.82341546784153
02/10,1.63105398386181,2.10101027238754,1.5134498842716,1.82341546784153
02/11,1.75000274830321,2.08837877473549,1.51923315690059,1.82341546784153
02/12,1.777651774638,2.08837877473549,1.53567491414655,1.82341546784153
02/13,1.78478295340527,2.33984750340777,1.6007113367656,2.08024653639269
02/14,1.7984876181496,2.33984750340777,1.60972128622381,2.08024653639269
02/18,1.82553488757824,2.33984750340777,1.62750224243156,2.08024653639269
02/19,1.81668101351258,2.33984750340777,1.62168245490937,2.08024653639269
02/20,1.85966920799445,2.33984750340777,1.64994155003262,2.08024653639269
02/21,1.85641892014039,2.33984750340777,1.64780501911517,2.08024653639269
02/24,1.82411705608396,2.33984750340777,1.6265708952639,2.08024653639269
02/25,1.77663748373833,2.33984750340777,1.59535597335811,2.08024653639269
02/26,1.72115892823135,2.33984750340777,1.55887898222311,2.08024653639269
02/27,1.67913045063668,2.33984750340777,1.53124198742622,2.08024653639269
02/28,1.66416512757881,2.33984750340777,1.35565067636709,1.70705737478518
03/02,1.58038558823219,2.33984750340777,1.30210411131364,1.70705737478518
03/03,1.73608303184272,2.33984750340777,1.40160656082298,1.70705737478518
03/04,1.73608303184272,2.33984750340777,1.40160656082298,1.70705737478518
03/05,1.73608303184272,2.33984750340777,1.40160656082298,1.70705737478518
03/06,1.73608303184272,2.33984750340777,1.40160656082298,1.70705737478518
03/09,1.73608303184272,2.33984750340777,1.40160656082298,1.70705737478518
03/10,1.69899116638683,2.33984750340777,1.37790577415386,1.70705737478518
03/11,1.77668141682668,2.44162757453668,1.46539002371338,1.79813160156244
03/12,1.77668141682668,2.44162757453668,1.46539002371338,1.79813160156244
03/13,1.77668141682668,2.44162757453668,1.46539002371338,1.79813160156244
03/16,1.77668141682668,2.44162757453668,1.46539002371338,1.79813160156244
03/17,1.69535410809976,2.44162757453668,1.41438643509484,1.79813160156244
03/18,1.69535410809976,2.44162757453668,1.41438643509484,1.79813160156244
03/19,1.69535410809976,2.44162757453668,1.41438643509484,1.79813160156244
03/20,1.69535410809976,2.44162757453668,1.41438643509484,1.79813160156244
03/23,1.69535410809976,2.44162757453668,1.41438643509484,1.79813160156244
03/24,1.60282121317821,2.44162757453668,1.35634157092224,1.79813160156244
03/25,1.60282121317821,2.44162757453668,1.35634157092224,1.79813160156244
03/26,1.60282121317821,2.44162757453668,1.35634157092224,1.79813160156244
03/27,1.60282121317821,2.44162757453668,1.57703930884119,2.00654952633739
03/30,1.60282121317821,2.44162757453668,1.57703930884119,2.00654952633739
03/31,1.60282121317821,2.44162757453668,1.57703930884119,2.00654952633739
04/01,1.50980288626141,2.44162757453668,1.51872155124049,2.00654952633739
04/02,1.50980288626141,2.44162757453668,1.51872155124049,2.00654952633739
04/03,1.50980288626141,2.44162757453668,1.51872155124049,2.00654952633739
04/06,1.50980288626141,2.44162757453668,1.51872155124049,2.00654952633739
04/07,1.50980288626141,2.44162757453668,1.51872155124049,2.00654952633739
04/08,1.50980288626141,2.44162757453668,1.51872155124049,2.00654952633739
04/09,1.50980288626141,2.44162757453668,1.51872155124049,2.00654952633739
04/10,,,1.35078021883157,1.74176643159325
04/13,,,1.35078021883157,1.74176643159325
04/14,,,1.35078021883157,1.74176643159325
04/15,,,1.35078021883157,1.74176643159325
04/16,,,1.35078021883157,1.74176643159325
04/17,,,1.35078021883157,1.74176643159325
04/20,,,1.35078021883157,1.74176643159325
04/21,,,1.35078021883157,1.74176643159325
04/22,,,1.35078021883157,1.74176643159325
04/23,,,1.35078021883157,1.74176643159325
04/24,,,1.35078021883157,1.74176643159325
04/27,,,1.35078021883157,1.74176643159325
04/28,,,1.35078021883157,1.74176643159325
04/29,,,,
